,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,823197353.0,0.0,1291.471528,0.0,282.9184957427328,0.0,2.1914438586715326
1,2.0,501848720.0,0.0,1229.089705,0.0,0.0,0.0,0.0
2,3.0,111606471.0,0.0,767.571905,0.0,0.0,0.0,0.0
3,4.0,304123438.0,0.0,1130.513081,0.0,0.0,0.0,0.0
4,5.0,201342532.0,0.0,1043.728816,0.0,0.0,0.0,0.0
5,6.0,2512162374.0,0.0,3157.801355,0.0,0.0,0.0,0.0
6,7.0,238391362.0,0.0,709.733874,0.0,0.0,0.0,0.0
7,8.0,502105487.0,0.0,1133.777548,0.0,0.0,0.0,0.0
8,9.0,2706565957.0,0.0,3283.812272,0.0,0.0,0.0,0.0
9,10.0,301614844.0,0.0,1220.51183,0.0,0.0,0.0,0.0
10,11.0,999428.0,0.0,837.520304,0.0,0.0,0.0,0.0
11,12.0,2713046960.0,0.0,3463.468123,0.0,0.0,0.0,0.0
12,13.0,232473989.0,0.0,3496.914417,0.0,0.0,0.0,0.0
13,14.0,1396689.0,0.0,613.550996,0.0,0.0,0.0,0.0
14,15.0,406316329.0,0.0,1099.643505,0.0,0.0,0.0,0.0
15,16.0,2606729570.0,0.0,3310.713093,0.0,0.0,0.0,0.0
16,17.0,2606923811.0,0.0,3358.590918,0.0,0.0,0.0,0.0
17,18.0,202982250.0,0.0,941.307408,0.0,0.0,0.0,0.0
18,19.0,2632207461.0,0.0,2977.819932,0.0,0.0,0.0,0.0
19,20.0,501824320.0,0.0,1311.634386,0.0,0.0,0.0,0.0
20,21.0,202405514.0,0.0,740.782184,0.0,0.0,0.0,0.0
21,22.0,501955095.0,0.0,1324.643676,0.0,0.0,0.0,0.0
22,23.0,2509156854.0,0.0,3041.91332,0.0,0.0,0.0,0.0
23,24.0,2907761228.0,0.0,3688.842152,0.0,0.0,0.0,0.0
24,25.0,119461920.0,0.0,3385.201643,0.0,0.0,0.0,0.0
25,26.0,1439403.0,0.0,543.776847,0.0,0.0,0.0,0.0
26,27.0,504421565.0,0.0,1070.881231,0.0,0.0,0.0,0.0
27,28.0,2710024865.0,0.0,3457.015996,0.0,0.0,0.0,0.0
28,29.0,301462288.0,0.0,986.547265,0.0,0.0,0.0,0.0
29,30.0,2707541624.0,0.0,3432.932491,0.0,0.0,0.0,0.0
30,31.0,146359515.0,0.0,733.347189,0.0,0.0,0.0,0.0
31,32.0,412603886.0,0.0,969.164254,0.0,0.0,0.0,0.0
32,33.0,504141177.0,0.0,1119.971356,0.0,0.0,0.0,0.0
33,34.0,401722160.0,0.0,1118.028725,0.0,0.0,0.0,0.0
34,35.0,2706541487.0,0.0,3571.885748,0.0,0.0,0.0,0.0
35,36.0,2509124150.0,0.0,3200.443557,0.0,0.0,0.0,0.0
36,37.0,2645386944.0,0.0,5948.203094,0.0,0.0,0.0,0.0
37,38.0,1320132.0,0.0,499.212762,0.0,0.0,0.0,0.0
38,39.0,609783193.0,0.0,1366.685533,0.0,0.0,0.0,0.0
39,40.0,301487170.0,0.0,955.309988,0.0,0.0,0.0,0.0
40,41.0,2608860697.0,0.0,3368.105131,0.0,0.0,0.0,0.0
41,42.0,2615708003.0,0.0,3181.450984,0.0,0.0,0.0,0.0
42,43.0,2749534643.0,0.0,6017.761649,0.0,0.0,0.0,0.0
43,44.0,1746327.0,0.0,574.67895,0.0,0.0,0.0,0.0
44,45.0,2807064198.0,0.0,3557.869587,0.0,0.0,0.0,0.0
45,46.0,205019240.0,0.0,984.917391,0.0,0.0,0.0,0.0
46,47.0,301545267.0,0.0,1154.348171,0.0,0.0,0.0,0.0
47,48.0,2510785485.0,0.0,3314.275095,0.0,0.0,0.0,0.0
48,49.0,220800624.0,0.0,572.786124,0.0,0.0,0.0,0.0
49,50.0,703742232.0,0.0,1676.62362,0.0,0.0,0.0,0.0
50,51.0,2411342104.0,0.0,2926.357528,0.0,0.0,0.0,0.0
51,52.0,2714604508.0,0.0,3159.88683,0.0,0.0,0.0,0.0
52,53.0,602138617.0,0.0,1388.316997,0.0,0.0,0.0,0.0
53,54.0,2608531478.0,0.0,3421.896673,0.0,0.0,0.0,0.0
54,55.0,2430602971.0,0.0,5700.802497,0.0,0.0,0.0,0.0
55,56.0,1567519.0,0.0,639.945292,0.0,0.0,0.0,0.0
56,57.0,401670793.0,0.0,1006.032574,0.0,0.0,0.0,0.0
57,58.0,401737110.0,0.0,1177.381082,0.0,0.0,0.0,0.0
58,59.0,204386619.0,0.0,1008.705166,0.0,0.0,0.0,0.0
59,60.0,2607539635.0,0.0,3298.313865,0.0,0.0,0.0,0.0
60,61.0,2646511325.0,0.0,3093.794214,0.0,0.0,0.0,0.0
61,62.0,511340979.0,0.0,1336.497038,0.0,0.0,0.0,0.0
62,63.0,201308189.0,0.0,701.287207,0.0,0.0,0.0,0.0
63,64.0,2810216317.0,0.0,3452.997994,0.0,0.0,0.0,0.0
64,65.0,504786577.0,0.0,1283.788154,0.0,0.0,0.0,0.0
65,66.0,202506484.0,0.0,972.88785,0.0,0.0,0.0,0.0
66,67.0,2540114343.0,0.0,5810.934777,0.0,0.0,0.0,0.0
67,68.0,1846051.0,0.0,701.790327,0.0,0.0,0.0,0.0
68,69.0,2706693743.0,0.0,3552.045215,0.0,0.0,0.0,0.0
69,70.0,2408185748.0,0.0,3117.50183,0.0,0.0,0.0,0.0
70,71.0,401999174.0,0.0,1370.910616,0.0,0.0,0.0,0.0
71,72.0,2410919661.0,0.0,3135.713548,0.0,0.0,0.0,0.0
72,73.0,2530759537.0,0.0,5821.56512,0.0,0.0,0.0,0.0
73,74.0,1115233.0,0.0,670.736376,0.0,0.0,0.0,0.0
74,75.0,401726142.0,0.0,1210.347279,0.0,0.0,0.0,0.0
75,76.0,101929143.0,0.0,997.64253,0.0,0.0,0.0,0.0
76,77.0,2422885148.0,0.0,3116.274417,0.0,0.0,0.0,0.0
77,78.0,2713201518.0,0.0,3359.089306,0.0,0.0,0.0,0.0
78,79.0,358661240.0,0.0,942.496694,0.0,0.0,0.0,0.0
79,80.0,309023994.0,0.0,910.378911,0.0,0.0,0.0,0.0
80,81.0,2910646297.0,0.0,3372.178621,0.0,0.0,0.0,0.0
81,82.0,2907421354.0,0.0,3704.563977,0.0,0.0,0.0,0.0
82,83.0,201241849.0,0.0,886.764372,0.0,0.0,0.0,0.0
83,84.0,2707404336.0,0.0,3553.246362,0.0,0.0,0.0,0.0
84,85.0,227987012.0,0.0,3502.564296,0.0,0.0,0.0,0.0
85,86.0,3747115.0,0.0,800.30223,0.0,0.0,0.0,0.0
86,87.0,202747823.0,0.0,872.299391,0.0,0.0,0.0,0.0
87,88.0,2610224525.0,0.0,3048.934407,0.0,0.0,0.0,0.0
88,89.0,2914203990.0,0.0,3633.726871,0.0,0.0,0.0,0.0
89,90.0,2611246723.0,0.0,3558.958333,0.0,0.0,0.0,0.0
90,91.0,2436051211.0,0.0,2839.103587,0.0,0.0,0.0,0.0
91,92.0,705567429.0,0.0,1155.528786,0.0,0.0,0.0,0.0
92,93.0,3010521011.0,0.0,3704.898044,0.0,0.0,0.0,0.0
93,94.0,2609558055.0,0.0,3181.745338,0.0,0.0,0.0,0.0
94,95.0,401743324.0,0.0,941.625459,0.0,0.0,0.0,0.0
95,96.0,501968116.0,0.0,1363.870252,0.0,0.0,0.0,0.0
96,97.0,2526100650.0,0.0,5801.607663,0.0,0.0,0.0,0.0
97,98.0,1583920.0,0.0,845.04963,0.0,0.0,0.0,0.0
98,99.0,204526066.0,0.0,859.542892,0.0,0.0,0.0,0.0
99,100.0,602265700.0,0.0,1332.239572,0.0,0.0,0.0,0.0
100,101.0,202626842.0,0.0,1087.1107,0.0,0.0,0.0,0.0
101,102.0,1319303.0,0.0,691.44329,0.0,0.0,0.0,0.0
102,103.0,2845113996.0,0.0,3497.703348,0.0,0.0,0.0,0.0
103,104.0,401761765.0,0.0,1238.634189,0.0,0.0,0.0,0.0
104,105.0,118295221.0,0.0,877.206855,0.0,0.0,0.0,0.0
105,106.0,2506191378.0,0.0,3177.334054,0.0,0.0,0.0,0.0
106,107.0,301502344.0,0.0,1279.295263,0.0,0.0,0.0,0.0
107,108.0,1068966.0,0.0,554.232332,0.0,0.0,0.0,0.0
108,109.0,2873379769.0,0.0,3705.799291,0.0,0.0,0.0,0.0
109,110.0,202093835.0,0.0,940.439592,0.0,0.0,0.0,0.0
110,111.0,302540219.0,0.0,1361.291321,0.0,0.0,0.0,0.0
111,112.0,1077408.0,0.0,532.981989,0.0,0.0,0.0,0.0
112,113.0,2908794568.0,0.0,3594.494441,0.0,0.0,0.0,0.0
113,114.0,2707382738.0,0.0,3586.83304,0.0,0.0,0.0,0.0
114,115.0,119080244.0,0.0,3395.183283,0.0,0.0,0.0,0.0
