,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,813096006.0,0.0,5544.591262,0.0,371.896347207895,0.0,5.431620974945455
1,2.0,129430113.0,0.0,4964.763201,0.0,0.0,0.0,0.0
2,3.0,115249510.0,0.0,4912.002591,0.0,0.0,0.0,0.0
3,4.0,192408495.0,0.0,6397.784639,0.0,0.0,0.0,0.0
4,5.0,1072854.0,0.0,5080.679014,0.0,0.0,0.0,0.0
5,6.0,33677332.0,0.0,3461.904155,0.0,0.0,0.0,0.0
6,7.0,3061907.0,0.0,4795.602961,0.0,0.0,0.0,0.0
7,8.0,224064312.0,0.0,4998.491907,0.0,0.0,0.0,0.0
8,9.0,215585725.0,0.0,5154.528463,0.0,0.0,0.0,0.0
9,10.0,220559486.0,0.0,5071.233419,0.0,0.0,0.0,0.0
10,11.0,136916950.0,0.0,4976.840784,0.0,0.0,0.0,0.0
11,12.0,16231979.0,0.0,4622.147355,0.0,0.0,0.0,0.0
12,13.0,468659334.0,0.0,5573.234915,0.0,0.0,0.0,0.0
13,14.0,17336533.0,0.0,4938.307215,0.0,0.0,0.0,0.0
14,15.0,225527023.0,0.0,5837.547581,0.0,0.0,0.0,0.0
15,16.0,6942437.0,0.0,4671.370471,0.0,0.0,0.0,0.0
16,17.0,12150679.0,0.0,4899.901594,0.0,0.0,0.0,0.0
17,18.0,201353368.0,0.0,5192.406329,0.0,0.0,0.0,0.0
18,19.0,104353352.0,0.0,4958.291511,0.0,0.0,0.0,0.0
19,20.0,277899655.0,0.0,4823.208613,0.0,0.0,0.0,0.0
20,21.0,543776013.0,0.0,5486.469946,0.0,0.0,0.0,0.0
21,22.0,311849521.0,0.0,5288.104145,0.0,0.0,0.0,0.0
22,23.0,15731245.0,0.0,4789.488056,0.0,0.0,0.0,0.0
23,24.0,606248089.0,0.0,5885.357239,0.0,0.0,0.0,0.0
24,25.0,702358411.0,0.0,6081.010036,0.0,0.0,0.0,0.0
25,26.0,303488141.0,0.0,5337.627426,0.0,0.0,0.0,0.0
26,27.0,201466632.0,0.0,5666.320555,0.0,0.0,0.0,0.0
27,28.0,201362641.0,0.0,5161.62533,0.0,0.0,0.0,0.0
28,29.0,301597015.0,0.0,4902.063793,0.0,0.0,0.0,0.0
29,30.0,616280169.0,0.0,5458.140277,0.0,0.0,0.0,0.0
30,31.0,311736718.0,0.0,5505.795816,0.0,0.0,0.0,0.0
31,32.0,303051742.0,0.0,5334.620222,0.0,0.0,0.0,0.0
32,33.0,301872905.0,0.0,5056.992189,0.0,0.0,0.0,0.0
33,34.0,402113488.0,0.0,4924.062324,0.0,0.0,0.0,0.0
34,35.0,504353682.0,0.0,5271.258496,0.0,0.0,0.0,0.0
35,36.0,309346941.0,0.0,4767.980005,0.0,0.0,0.0,0.0
36,37.0,709529980.0,0.0,3933.050594,0.0,0.0,0.0,0.0
37,38.0,2207196148.0,0.0,7523.618153,0.0,0.0,0.0,0.0
38,39.0,2931283.0,0.0,5140.447557,0.0,0.0,0.0,0.0
39,40.0,402122486.0,0.0,5576.410001,0.0,0.0,0.0,0.0
40,41.0,305600293.0,0.0,5162.507304,0.0,0.0,0.0,0.0
41,42.0,104010693.0,0.0,4339.753769,0.0,0.0,0.0,0.0
42,43.0,1107450899.0,0.0,5540.096979,0.0,0.0,0.0,0.0
43,44.0,705378162.0,0.0,5679.748441,0.0,0.0,0.0,0.0
44,45.0,405995792.0,0.0,5887.151038,0.0,0.0,0.0,0.0
45,46.0,710632105.0,0.0,6183.502317,0.0,0.0,0.0,0.0
46,47.0,347172710.0,0.0,5106.406213,0.0,0.0,0.0,0.0
47,48.0,378459806.0,0.0,5571.375004,0.0,0.0,0.0,0.0
48,49.0,102529782.0,0.0,5292.036494,0.0,0.0,0.0,0.0
49,50.0,304384854.0,0.0,6304.950625,0.0,0.0,0.0,0.0
50,51.0,224280458.0,0.0,6674.582912,0.0,0.0,0.0,0.0
51,52.0,709716456.0,0.0,6771.437535,0.0,0.0,0.0,0.0
52,53.0,1509726297.0,0.0,7881.27459,0.0,0.0,0.0,0.0
53,54.0,819429848.0,0.0,7489.633115,0.0,0.0,0.0,0.0
54,55.0,507080918.0,0.0,6889.417146,0.0,0.0,0.0,0.0
55,56.0,902524905.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
